name,price,quantity,link,total,,delivery and tax,whole total,USD
Cherry_MX_1u_PCB_Switch,180,10,https://stackskb.com/store/click-inc-hp-switch-pack-of-10-pre-order/,900,,,,
1N4148_SOD123_Diode,20,5,https://stackskb.com/store/1n4148-sod-123-smd-diode/?srsltid=AfmBOordGLVFLLHdm_L-JlwZPzugfZSMpGwaLcnylWV436GhQU_S-uMK,200,,82,,
JST_PH_2pin_S2B-PH-K,59,1,https://robocraze.com/products/2-mm-pitch-jst-cable-with-connector-pack-of-10?_pos=1&_sid=52d1cda30&_ss=r,59,,,,
LM339_SOIC14,12,5,https://robocraze.com/products/lm339?variant=40192358514841,60,,,,
3.7V 400mAH Li-Po Rechargeable Battery (402020),114,2,https://robocraze.com/products/witty-fox-3-7v-400mah-rechargeable-lipo-battery-1?variant=47485429252320&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoowp1cA8Qbsr7m1nNDMGaUhDdSnYsxprcTgKr69nqeXrTHW-PgbjX8,228,,,,
Resistor_10k_0805,10,1,https://quartzcomponents.com/products/10k-ohm-103-5-smd-resistor-0805-pack-of-20-pieces?variant=43451349729514,10,min order,49,,
Resistor_2.4k_0805,10,1,https://quartzcomponents.com/products/1-1k-ohm-1k1-1-smd-resistor-0805-pack-of-20-pieces-copy?variant=45761382514922,10,min order,,,
Resistor_22k_0805,8,1,https://quartzcomponents.com/products/22k-ohm-223-5-smd-resistor-0805-pack-of-20-pieces?variant=43515941421290,8,min order,64.04,,
Promicro NRF52840,758,2,https://robu.in/product/promicro-nrf52840-development-board/,1516,,,,
Thumb_Joystick_COM-09032,86,1,https://arrowtechcart.com/products/thumb-joystick-switch-xy-dual-axis-4-way-direction?_pos=1&_psq=thumb+joy&_ss=e&_v=1.0,86,,89,,
M2 screw 6mm,2,6,https://onlyscrews.in/products/m2-x-6mm-phillips-pan-head-ss-304-screw?variant=49225893839161,12,,,,
M2 screw 8mm,1.8,17,https://onlyscrews.in/products/m2-x-8mm-phillips-csk-ss-304-screw-dia-2mm-length-8mm?variant=51155018514745,30.6,,,,
M2 heatset 4mm,2,5,https://onlyscrews.in/products/m2-x-4mm-brass-threaded-inserts?variant=49423172829497,10,,,,
M2 heatset 6mm,1.4,17,https://onlyscrews.in/products/m2-x-6mm-brass-threaded-inserts?variant=49423242101049,40.8,,70.17,,
,,,,3170.4,,354.21,3524.61,38
PCB,13$,,,,,,,13
USD Final total,,,,,,,,41
